Australia,Brazil,China,India,South Africa,United States
22124.93097,61860.255,654573.3086,131104.85,40289.869,412636
21793.55641,61445.581,637695.5577,129956.45,40748.362,415705
21833.27917,60827.205,628762.5667,132949.89,41833.998,426213
21893.88727,61562.089,633903.0874,141379.78,43844.445,451335
21403.51753,66609.682,667344.7186,151308.35,45989.926,491609
20299.90325,72064.078,723571.4894,164386.6,48154.546,515458
19068.00384,75429.818,730800.6298,175624.29,50732.821,511112
18600.25236,77413.824,752600.8843,184406.55,51806.934,494235
18395.76172,77390.039,779502.6491,189002.41,51814.718,478297
18630.53974,76020.113,801933.7019,188948.13,52186.105,462425
19070.18369,78908.673,776252.825,187167.06,52062.507,454232
19528.1074,80707.388,753160.3681,181996.02,51605.926,448922
21243.8795,80539.003,761837.5594,177119.98,51176.643,445650
23778.08144,79195.419,772147.8538,174100.52,51407.203,445922
27309.73053,74234.014,791219.5796,169579.51,51836.583,456311
30722.88255,72453.007,834651.9941,166097.13,52211.855,481188
32169.23897,75297.455,864375.6219,166576.59,51831.931,498684
31920.03741,76205.208,875719.7087,164439.81,53256.407,499472
30532.61659,77201.56,850621.9389,157369.24,52594.494,493250
28693.60587,75767.586,829749.4245,150762.09,49234.894,479195
26915.21799,72347.173,798303.974,144384.4,46038.789,455828
25829.91283,68011.012,748998.2612,137939.13,44132.165,434991
24570.79604,65203.535,715508.0466,132077.72,43200.824,421680
23400.92416,63134.3,689600.8839,128190.89,42400.332,414140
22727.90122,61881.788,664520.2427,125699.26,41890.955,411332
22624.62734,61531.147,646158.5994,125283.6,42202.59,413389
23179.17259,61117.744,635971.2985,128896.83,42595.193,422723
24546.71233,62086.351,640534.1663,139352.3,43283.598,446624
25350.32821,67383.588,673886.8206,153854.56,44412.811,484018
25188.29119,73164.746,730436.9396,171083.93,47032.077,505270
24072.11043,76693.102,737463.5856,180414.86,49445.967,500975
23077.59539,78673.745,760866.5856,188221.8,50458.783,487489
22691.35691,78810.303,790048.1184,192053.89,50469.038,474586
22636.53403,77598.894,814033.5726,191085,50159.371,463505
23102.65715,80775.127,787908.8516,188864.39,49800.814,455033
24020.40465,82399.176,763663.6753,184802.87,49043.505,449406
25425.14361,82248.476,772480.9027,180685.56,48180.819,446380
27659.20225,80945.281,783058.5975,179960.56,47811.545,448625
30493.46429,75786.15,802804.6118,177956.77,47939.501,456351
32801.57636,73167.131,847914.3658,175413.95,48115.419,476952
33399.02178,76731.238,878905.4626,174967.52,49317.115,489028
32544.29053,77681.13,891689.687,170359.16,52404.854,485790
31022.96838,78741.869,865868.4339,162930.49,51014.105,476252
29108.48995,77328.031,844450.8823,156923.03,47757.424,458835
27522.91453,73938.244,811818.8116,150921.44,44851.462,434457
26463.29616,69803.181,760086.3108,144052.15,42412.759,411490
25194.65438,66548.006,737782.6076,138894.92,41215.154,394412
23959.48186,64343.126,710018.3217,134449.66,40317.807,385107
23094.07645,63143.137,683098.9653,131388.41,39900.826,379985
22951.61828,62783.881,660639.9614,130395.82,39571.851,379072
23506.14806,62120.572,643959.0878,133300.07,39890.381,383239
24638.45623,62846.753,638204.3084,143518.52,40487.031,402230
25555.00933,68217.234,652888.346,155861.95,41468.957,436438
25384.3985,74342.655,677443.1369,172432.66,43927.813,459099
24531.48302,78005.129,723663.3332,181353.05,47055.9,461371
23085.42003,80130.266,798846.0507,188051.17,49376.497,458044
22206.07271,80164.434,844624.4647,192430.24,50244.696,455003
21729.73479,78882.64,876350.3184,192435.45,50374.629,450198
21709.46796,81950.653,858820.3381,190984.85,50063.812,445367
22233.98902,83410.484,863966.3881,188053.76,48787.731,442100
23888.38681,82825.963,878676.0243,184886.41,48007.021,439165
25970.56191,80658.911,881941.1592,183053.68,47678.561,438320
29168.80225,75880.796,880066.2277,179632.95,48226.812,445557
31877.98466,73451.812,876729.4067,175915.61,49086.943,461136
32460.92249,77252.915,840496.8918,174529.53,49822.408,465734
32013.72653,77440.393,825434.8818,170185.27,51669.152,458763
31002.45045,77745.957,849358.1498,161820.25,49794.472,448051
29336.12705,76362.473,856685.5714,156123.27,46200.915,434349
27823.41587,73611.86,836679.3661,151594.71,43231.08,416489
26731.88513,70142.298,790789.5351,144353.67,41462.218,397411
25403.67117,67056.822,741858.0336,138809.7,40209.636,380845
24194.31405,64696.954,714599.7104,134990.31,39902.635,369797
23363.14014,63202.95,688024.223,132446.2,39634.356,364113
23213.98475,62494.873,665763.5281,131816.73,39989.142,361633
23843.43439,60869.773,649259.8375,134592.69,41187.822,363229
25171.71842,59479.31,643650.728,144510.89,43415.964,369926
26107.84759,61722.441,658419.2246,155961.83,45489.571,382673
25974.34761,64773.212,682661.5573,170607.75,48793.491,396405
25022.34608,67542.412,728036.4909,179102.05,52026.843,411264
23936.9335,68981.592,801985.3598,187484.61,53760.807,422811
23459.27806,69115.4,847235.3164,193396.73,54624.379,428407
23499.06033,68522.064,878584.3145,193052.64,54859.552,428465
23938.09359,68568.364,861646.2382,192760.19,54226.31,425306
24960.93098,68993.783,867135.1574,188586.41,53634.192,421121
26799.16703,68943.105,881417.9411,186683.42,53608.885,417970
29083.72832,68194.062,884532.4133,184773.45,54228.547,418299
31935.92937,68120.556,882577.8025,180287.48,54759.267,423679
33849.8096,70581.947,878900.3217,175676.57,55083.42,440482
34418.27654,74613.911,843129.1186,175681.61,54992.947,448977
33948.9714,74592.542,828198.4262,171385.48,56269.51,441005
32376.30592,73039.636,851946.0135,164140.36,53329.925,432890
30314.16559,71045.039,859113.0078,158510.31,50482.214,422034
